50.657095:13.904507,52.593215:14.454589,47.038104:12.935218,49.328849:8.565584,49.004915:10.940701
50.281550:7.946292,49.328848:8.565582,49.539246:9.805166,51.935769:8.439783,50.584336:8.260361
51.946468:11.839237,49.328848:8.565582,48.978406:8.173709,52.621564:12.170336,49.553467:9.471601
52.071956:7.006071,50.626753:6.823996,49.328848:8.565582,49.877902:10.292982,52.425062:10.763336
47.964271:11.494971,50.783478:12.690832,49.209265:9.228503,49.328848:8.565582,50.729842:10.685368
49.328848:8.565581,50.452177:14.063640,50.402558:11.927889,48.616455:9.491752,50.371818:11.133511
49.328848:8.565581,52.473078:14.296175,51.682120:13.828009,49.404080:12.948152,51.111763:8.548656
50.790882:8.452481,50.435113:10.449255,49.328848:8.565581,52.434977:12.610643,48.007306:14.125222
50.528228:9.920815,49.328848:8.565581,48.465446:13.812360,50.135475:14.776184,48.846907:14.941612
51.923293:7.228768,47.719129:10.490420,49.328848:8.565581,52.898935:11.738314,52.098660:12.993393
47.282354:10.699579,49.328848:8.565580,51.593888:12.441067,51.213543:10.934070,48.048064:9.821249
49.328848:8.565580,51.362880:13.963062,50.292406:11.438838,48.659973:11.142434,48.611047:6.446267
48.833879:9.514738,49.328848:8.565580,50.549333:14.834239,51.551814:8.909711,51.532010:10.475623
49.720533:6.428602,52.732741:6.227021,49.328848:8.565580,48.238233:6.724287,47.415136:14.510651
48.623040:6.771599,49.278892:9.491870,47.347343:10.740335,49.328848:8.565580,51.708213:13.301795
50.148217:13.655369,52.764053:8.895245,51.380634:12.026215,47.117013:13.543084,49.328848:8.565580
50.555475:11.763655,48.384631:7.477055,51.907569:6.364851,49.328848:8.565580,50.971064:6.728019
51.021763:9.573561,49.328848:8.565580,52.256917:8.530821,48.972633:6.357226,47.656721:13.613299
50.999164:6.647693,52.061837:9.954291,49.328848:8.565580,50.898585:7.876912,52.635987:9.848232
51.013190:8.930903,49.699427:8.890114,49.010788:9.079054,47.025609:7.970336,49.328848:8.565580
50.377891:12.521257,49.328848:8.565580,50.844448:8.916301,52.239453:8.699826,48.739084:13.193195
47.405118:12.263467,49.345369:10.315600,50.930230:6.067092,49.267017:14.811767,49.328848:8.565580
52.933146:9.622812,50.144784:9.738481,52.511524:9.593788,49.328848:8.565579,48.175721:11.664171
49.914378:6.042545,48.188916:7.285512,49.084859:10.454723,49.328848:8.565580,50.977082:13.479431
51.002874:7.986447,49.328848:8.565579,48.692853:13.049830,50.176763:6.728864,52.582390:6.991010
52.603320:13.053375,50.668547:9.338039,47.644942:12.005935,49.328848:8.565579,47.910433:12.245740
51.040558:10.098368,48.514081:6.823026,49.328848:8.565579,48.102720:14.758305,50.380439:14.769873
52.340905:11.326347,47.209644:6.606477,52.539574:7.343216,49.328848:8.565579,51.228900:13.723335
49.328848:8.565579,50.892490:14.139988,52.972593:10.419213,48.553150:6.092863,48.296630:7.151234
49.558981:6.853757,52.970002:9.309339,47.460368:14.358136,51.980444:12.464943,49.328848:8.565579
49.328848:8.565579,47.098436:6.190245,48.483150:14.794967,48.552795:13.781062,47.911256:14.640759
52.156403:8.737436,48.074874:13.011322,51.498768:12.155800,47.361516:12.887990,49.328848:8.565579
47.132054:11.171484,49.328848:8.565579,47.885913:8.458180,47.734629:9.857097,52.784996:14.457619
49.257967:11.469410,52.134695:14.536025,52.267516:11.374620,49.029222:6.140856,49.328848:8.565579
51.276216:8.662731,49.328848:8.565579,49.069265:10.147676,48.450697:9.503547,52.772444:9.403421
49.328848:8.565579,50.464297:13.187476,51.307603:13.268408,48.359648:8.205136,50.924221:8.515175
51.020293:11.830929,47.192608:11.350885,48.803477:11.114282,49.328848:8.565579,50.654672:14.751696
49.940880:13.071106,49.328848:8.565579,48.148300:6.909282,49.304973:10.795508,51.262241:12.602229
49.779721:10.280632,49.328848:8.565579,48.400805:9.957761,48.247833:8.731742,47.790366:6.956077
52.630948:12.195791,47.028162:7.865660,49.401086:13.989066,49.328848:8.565579,51.527003:11.628178
52.159995:10.297266,50.000052:8.817482,51.039383:12.827579,49.328848:8.565578,48.053545:11.147063
49.328848:8.565578,52.780726:6.813532,50.116189:6.591688,52.197167:7.112619,48.708357:12.067365
47.220376:13.407571,49.328848:8.565562,51.904199:7.286016,48.180514:12.579755,47.986992:13.743001
51.975001:9.718463,47.729526:10.238295,49.425530:8.147541,47.879981:10.404755,49.328846:8.565500
48.728707:12.530591,49.328851:8.565464,49.269155:9.074399,50.286034:9.282432,47.438575:10.424962
50.784024:6.278524,49.328867:8.565454,50.125992:10.129030,50.817460:12.599354,51.383737:6.986999
52.221650:7.347796,47.434788:6.109294,49.328914:8.565419,48.623965:8.156985,50.503880:13.391334
52.227998:9.084421,49.587868:12.485766,49.940081:10.059548,52.639591:9.782337,49.328943:8.565397
49.457130:10.425507,49.328973:8.565381,49.308237:6.099707,48.129600:10.173322,51.530684:12.019688
49.320569:9.258505,49.328997:8.565360,48.434866:8.451829,50.446650:7.699089,47.042278:12.382856
49.328155:14.482656,49.289066:11.311870,49.329023:8.565338,52.160577:7.368307,50.694391:6.864626
47.062542:9.143569,47.240280:7.483466,49.329053:8.565315,50.884763:6.780038,47.081087:13.109620
51.437289:9.621355,49.329086:8.565290,48.880300:14.125540,47.247757:9.955454,49.644670:13.272562
51.092984:13.081366,49.448282:9.878231,49.491612:13.526125,49.329122:8.565262,48.932714:10.602937
49.026062:13.730352,52.649036:13.932987,49.329154:8.565230,49.402374:11.394151,50.925270:9.888008
51.214507:6.821065,49.329186:8.565197,47.354053:8.754421,50.073082:7.580587,52.907722:6.041594
52.605887:13.848784,51.365096:10.933670,49.329215:8.565162,51.462614:12.902942,49.234987:10.579970
50.749611:8.075200,51.457032:9.915437,49.889198:10.228775,52.378871:9.698091,49.329245:8.565131
49.826895:11.244564,50.679234:14.783718,49.329279:8.565096,47.648830:10.231561,49.043969:11.822453
49.329310:8.565063,51.277871:10.460017,50.290221:6.780206,50.973065:6.966913,47.660393:7.596340
47.354010:12.846279,47.939011:7.181344,52.742002:14.542995,47.904206:14.987349,49.329339:8.565032
48.651870:11.366886,48.003817:8.422664,52.948041:9.109627,51.629213:11.017255,49.329370:8.565008
50.689061:9.885884,47.106292:13.763067,51.490883:14.675864,49.329391:8.564993,51.539908:13.018738
47.987220:14.163086,49.329412:8.564982,52.906467:14.195186,47.146808:10.303872,47.334447:10.163949
52.031435:14.576638,52.623159:9.695244,49.329433:8.564966,48.456782:8.917734,47.455579:8.711162
48.919952:12.939413,51.288758:13.646958,48.088910:7.444740,49.973120:6.598520,49.329456:8.564947
47.540038:6.211272,52.179675:7.548050,49.222865:7.267273,49.329477:8.564928,47.392679:14.356049
51.106648:11.999280,48.557660:7.547094,49.329497:8.564911,48.398281:6.578685,48.388369:7.744012
52.160989:9.567888,48.838841:13.579847,50.939440:8.418697,50.757161:11.061183,49.329519:8.564895
49.329544:8.564877,47.502581:9.077094,48.988321:12.157236,49.232697:7.659261,47.621621:7.473110
49.629581:6.342421,49.329571:8.564859,48.353642:9.064488,51.269319:11.510159,52.861746:9.009305
47.847799:10.362365,47.843750:7.840630,47.667173:14.008644,49.329602:8.564839,52.407334:6.878524
51.200082:11.798546,52.709827:9.646888,52.841977:12.027840,51.487841:10.907843,49.329647:8.564815
50.874529:10.310624,50.569207:6.112903,49.329717:8.564779,49.237716:11.519504,51.074980:13.805679
50.822079:12.548818,50.629901:11.187322,47.467940:12.510496,49.329825:8.564729,49.742433:9.664322
49.359409:7.909702,51.344614:12.233975,52.172917:10.672093,51.072164:10.314788,49.329933:8.564704
50.045097:7.473328,48.039153:13.210718,49.330056:8.564663,48.286367:9.005234,48.369361:8.087086
49.330171:8.564668,47.731477:8.325442,51.824444:12.256859,52.580797:11.267557,47.744375:7.208945
48.871181:12.719661,52.881879:9.865144,47.528819:8.099800,49.330336:8.564780,51.745522:13.929379
51.942839:12.278168,49.330462:8.564804,51.131410:13.262244,52.725035:7.803436,49.845793:6.029393
49.330614:8.565064,50.636790:8.326787,47.496890:14.453428,49.508834:7.488684,48.223029:12.438883
